X,Y,OBJECTID,Count_,Int_Number,Location,Dist
763934.010045171,2939151.65608427,728,588,711,"Forest Hills St., Montebello Rd., & Washington St.",WR
766388.447513476,2948860.65830399,729,590,569,"Forsyth Way, Huntington Ave., & Parker St.",RX
756056.007898435,2957147.15935379,730,594,1183,"Franklin St., Kingsley St., & North Harvard St.",AB
763125.822242483,2938037.40610117,731,608,241,"Glen Rd., Green St., & Washington St.",WR
769667.761368126,2933313.40536283,732,609,1081,"Glenway St., Harvard St., & Warner St.",DO
758733.259563535,2922157.65282817,733,615,1469,"Greenwood Ave., Hyde Park Ave., & Thatcher St.",HP
765376.322473601,2946139.40761013,734,618,1972,"Gurney St., Terrace St., & Tremont St.",RX
771084.887312472,2945234.90682645,735,620,709,"Hampden St., Keegan St., & Norfolk Ave.",RX
776526.949192554,2957854.16012573,736,622,35,"Hanover St., Parmenter St., & Richmond St.",BP
769771.25752753,2951760.24836047,737,623,4002,"Harcourt St., Huntington Ave., & Ring Rd.",BP
774311.448825136,2951800.9088511,738,633,395,"Harrison Ave., Hudson St., & Marginal Rd.",BP
772797.576325893,2949286.65743674,739,634,390,"Harrison Ave., Malden St., & Msgr. Reynolds Way",BP
770879.823749736,2934947.40573323,740,635,608,"Harvard Ave., Vassar St., & Washington St.",DO
766557.421019286,2938138.33780074,741,651,432,"Humboldt Ave., Old Trail Rd., & Seaver St.",RX
767296.321181655,2949355.41170728,742,657,4019,Huntington Ave. & Opera Place,RX
767296.321181655,2949355.41170728,743,658,4020,Huntington Ave. & Opera Place,RX
765513.682382032,2948341.15265007,744,661,3096,"Huntington Ave., Louis Prang St., & Ruggles St.",RX
761802.540530905,2946714.39889598,745,662,613,"Huntington Ave., Mission Park Dr., & Parker Hill Ave.",RX
773511.611996204,2924587.04554155,746,15,475,Adams St @ #1185,DO
775028.75352852,2952484.90037695,747,29,4110,Albany St & South Station Connector,BP
774267.930366144,2949273.28139414,748,32,3113,Albany St Connector & Frontage Rd NB,BP
772631.056413263,2968368.69720687,749,36,953,Alford St @ Edison Gate,CH
760573.08326304,2953154.50707825,750,57,3094,Amory St & Commonwealth Ave (N. Rdwy),BP
760561.770668939,2953090.88614044,751,58,3095,Amory St & Commonwealth Ave (S. Rdwy),BP
766335.919087276,2932861.25640154,752,50,3020,American Legion Hwy & Lena Park (@#150),WR
761082.960752368,2935202.35814062,753,64,2164,"Arborway Ramps, Hyde Park Ave, New Washington St, & Washington St",WR
777018.945206821,2954344.852571,754,88,4102,Atlantic Ave & Pearl St,BP
777260.265069559,2954779.52485627,755,784,558,"Purchase St, Ramp CS-P, & Seaport Blvd",BP
777069.538298696,2954651.39226426,756,783,1217,Purchase St @ Firehouse,BP
775761.216382861,2957527.9722016,757,821,4094,Sudbury St & Surface Rd SB,BP
773694.136141405,2959164.01327397,758,743,460,Nashua St @ #100,BP
772150.208534226,2957002.89079644,759,279,9010,"Cambridge St, Charles Circle, & Charles St",BP
772133.711867228,2956823.68517044,760,0,9008,"Charles Circle, Charles St, & Storrow Dr Ramp",BP
773050.288801387,2959058.58190079,761,687,4036,"Lowell St, Nashua St, & Ramp CN/N-LC",BP
772883.0326581,2958878.62754558,762,682,9050,"Msgr O'Brien Hwy, Nashua St, & Storrow Dr (Leverett Circle)",BP
779745.320751548,2953066.65665258,763,102,2351,B St & Seaport Blvd,SB
779515.661104545,2952626.2091396,764,103,4058,"B St, Congress St, & Ramps D & F",SB
777195.43842873,2953735.05716966,765,436,361,Congress St & Dorchester Ave,BP
780440.500856996,2952151.49380448,766,435,4059,Congress St & D St,SB
773810.569087222,2947567.92176841,767,595,9995,Frontage Rd NB & Massachusetts Ave Connector,SB
774115.150233611,2947002.98366199,768,596,9990,Frontage Rd NB & South Boston Bypass Rd,SB
773935.679476202,2946926.91831356,769,599,9991,Frontage Rd SB & South Boston Bypass Rd,SB
774792.71709317,2950630.6255134,770,597,4114,Frontage Rd NB & Traveler St,SB
774865.777963996,2945451.79574336,771,600,9994,Frontage Rd SB & South Bay Mall Dr,SB
775163.791014969,2952915.41459905,772,676,1273,Kneeland St & Surface Rd SB,BP
775259.251950383,2952401.55726819,773,684,4109,"Lincoln St, South Station Connector, & Ramp K",BP
767736.357463449,2947520.39439368,774,722,3011,Melnea Cass Blvd & Tremont St (NB Turn),RX
768850.970490471,2949756.97053848,775,712,2363,Massachusetts Ave @ MBTA Station Pedestrian Crossing,BP
766752.76645647,2950584.88600983,776,582,9019,Fenway @ Fire Alarm HQ,BP
766821.738826931,2950718.14985812,777,581,407,Fenway & Westland Ave,BP
766364.606643498,2951692.70558688,778,216,9007,Bowker Overpass & Boylston St,BP
763173.127021492,2950677.81074578,780,768,9000,Park Dr & Riverway,BP
769504.456495658,2952534.3702959,781,228,3131,Boylston St & Ring Rd,BP
769067.832664952,2952381.37041096,782,230,3132,Boylston St @ Prudential Service Entrance,BP
776927.993687034,2956732.14051269,783,725,4117,Mercantile St & Surface Rd SB,BP
779080.768120751,2952160.94603159,784,822,4111,Summer St & West Side Dr,SB
766956.811748683,2947539.1607697,785,798,3068,Ruggles St @ MBTA Station Bus Dr,RX
760793.476437211,2935260.29306549,786,749,2319,New Washington St @ Forest Hills MBTA Ped Crossing,WR
760326.819150016,2934477.39499219,787,844,1712,Washington St @ Forest Hill MBTA Station Busway,WR
760877.798017472,2934915.92153001,788,669,2303,Hyde Park Ave & Forest Hills MBTA Station Busway Entrance,WR
772969.346449152,2961684.68329954,789,96,164,Austin St & Rutherford Ave,CH
772874.424180999,2964399.21694647,790,261,977,Bunker Hill St @ White Pool,CH
770685.825657308,2964988.9630824,791,275,3114,Cambridge St & Ramp CL,CH
773732.310956299,2961018.42485671,792,787,2345,Ramp TL & Rutherford Ave,CH
